t,Rep,LOG10N,Isolate,
288,rep1,6.15432,649,
384,rep1,6.24797,649,
504,rep1,5.98046,649,
0,rep2,3.53212,649,
6,rep2,3.65896,649,
24,rep2,3.46909,649,
48,rep2,3.47349,649,
96,rep2,3.9843,649,
192,rep2,5.5302,649,
240,rep2,6.22141,649,
288,rep2,6.43933,649,
384,rep2,6.57634,649,
504,rep2,6.31597,649,
