,unit_id,T_F,t_F,T_T,t_T,T_S,t_S,T_T2,t_T2,T_H,t_H,conc,isolate
38,38,3.607943626,1.526027724,5.451569607,3.375228151,4.161393923,7.028042923,7.982579516,0.034134101,3.621974318,14,2,193
39,39,4.223710946,1.985095224,4.85111104,5.664015355,2.702264747,3.788572561,8.137876227,0.037303175,3.289385564,14,2,193
40,40,3.91127443,1.507641822,4.956432663,8.841249832,0.718326297,1.307379635,8.333296721,0.067876916,6.212084766,14,2.000084751,193
41,41,4.320946294,1.682788079,4.320571203,9.312608194,4.393336201,1.176645808,7.456332561,0.019260226,0.242763747,14,2,193
42,42,4.147060194,1.601541218,5.573024883,3.520371662,-1.300296901,6.157207152,6.527065066,0.055365564,10.87625927,14,5.907994058,193
43,43,4.282932762,1.238868678,7.95892473,5.460822662,1.319376668,0.402069832,9.014671633,0.023676788,6.020923073,14,2.001080052,193
44,44,4.053036312,1.258165927,3.487668168,4.719534932,1.839792724,1.262249503,7.409426416,0.031277862,4.598557497,14,2,193
45,45,4.02971958,1.729309623,4.785732422,6.182590183,2.000982134,3.841319974,7.614382427,0.058094101,3.7657253,14,2,193
46,46,4.289356232,1.452570831,3.874131107,4.113611419,4.136835036,4.059522585,8.61110643,0.024738275,1.018647632,14,2,193
47,47,3.523331202,1.175126768,4.847167501,5.112903971,2.545199408,3.695241509,7.391090002,0.03317866,2.741393553,14,2,193
48,48,3.977230065,1.74669827,3.424407824,3.486926409,3.032901686,0.538216594,8.807566624,0.070048491,3.967987185,14,2,193
49,49,4.232313739,1.10498764,4.990537235,4.64565778,2.174621337,2.738116637,7.393105528,0.050566154,0.612922203,14,2,193
50,50,4.192731556,1.864544949,8.371701537,6.484781268,1.854204185,1.593824916,8.847653649,0.050843827,5.060125872,14,2.000002599,193
51,51,3.977619622,1.614644972,6.673822778,5.191331753,3.551991452,1.793580253,7.626735465,0.037266533,4.687279111,14,2.000000012,193
52,52,4.361209477,1.557159539,8.234114626,2.51554901,4.363211043,2.246222825,8.577303123,0.017265323,2.200103557,14,2,193
53,53,3.938097107,1.328777319,5.039872639,6.886253117,3.330931199,1.339610426,8.203131358,0.010067457,2.518643763,14,2,193
54,54,3.744797277,1.453131445,5.707538397,4.880667325,2.974503932,1.280093843,7.31675776,0.035532287,2.996844806,14,2,193
55,55,3.570679047,1.500440973,5.107385193,9.075778066,1.534518101,7.640721609,8.511292688,0.080034385,6.573004513,14,2.000220274,193
56,56,3.59946616,1.180866361,3.261521551,4.19121018,4.011823054,4.337535491,9.491601036,0.044434076,6.815751525,14,2.000397565,193
57,57,3.816271707,1.529630603,4.056174511,7.383646952,1.599373073,5.488722566,7.127288729,0.043287458,3.523234857,14,2,193
58,58,4.018634263,1.075275746,5.172055861,2.720642993,1.788204809,2.363328067,8.250389067,0.046652472,2.432015367,14,2,193
59,59,4.162005076,1.277755933,4.601004222,7.739611488,3.843337601,5.631923117,9.659424527,0.03229584,5.113681496,14,2.000001746,193
60,60,3.906830187,1.212699519,8.257718418,5.125257226,5.395329138,1.634479299,7.385777652,0.012024919,6.311282552,14,2.002849461,193
61,61,4.412875924,1.284790481,5.296264559,2.981826098,2.786098822,2.958991015,5.971499311,0.093514816,3.590140792,14,2,193
62,62,3.793603373,1.895094103,4.3659355,4.463814002,1.540068782,6.19021426,7.564097441,0.031526278,11.8079761,14,5.908299924,193
63,63,3.959065726,1.446235323,4.195840283,7.295142447,0.159596069,3.852601603,7.532760542,0.03402797,8.198228728,14,2.083982133,193
64,64,3.832394674,1.77998489,6.85753008,4.156991337,1.704140638,5.423507553,8.547488592,0.035039835,3.556282065,14,2,193
65,65,4.150870467,1.880619035,6.281190726,5.689151054,0.608307212,2.832796043,8.096263207,0.035053922,1.249959541,14,2,193
66,66,3.758016781,1.41312421,3.623088501,7.289456169,1.83392135,1.457476084,8.731496128,0.034889792,8.153985905,14,2.069363053,193
67,67,3.978545248,1.063808481,2.90187081,2.600482697,3.009882503,7.077615387,8.077627592,0.075693256,3.823982028,14,2,193
