"","LOG10N0","lag","mumax","LOG10Nmax","AIC","BIC"
"Iso474Rep2_barcoef",3.65879997472767,194.048948445214,0.0629008909899541,5.01168797445658,5.82546983887251,6.81159272555361
"Iso495Rep1_buccoef",3.68657666739044,45.0278020026235,0.0262840033009459,6.50786,-2.19945188054744,-1.21332899386634
"Iso495Rep1_gomcoef",3.66623428303362,62.8681724775934,0.0319107097632818,6.80121530221176,0.826795236268589,1.81291812294969
"Iso495Rep1_barcoef",3.66692196087557,72.4820245145403,0.033440552310395,6.56957826388856,-2.88462067725437,-1.89849779057328
"Iso495Rep2_buccoef",3.058725,82.1947697097727,0.0673292670874429,6.35439666666667,13.6024437590881,14.5885666457692
"Iso495Rep2_gomcoef",3.05881845530776,90.8871318959783,0.140753243721136,6.34794161057189,13.6290575861254,14.6151804728065
"Iso495Rep2_barcoef",3.05361158200885,90.4454244355549,0.0885651314684563,6.35719762553666,13.558938604101,14.5450614907821
"Iso518Rep1_buccoef",3.210665,58.3390467098158,0.0638669946064669,6.95101,-15.422746146722,-14.4366232600409
"Iso518Rep1_gomcoef",3.21066318220624,81.0878560837168,0.160759433279862,6.95276469104235,-15.4494509401129,-14.4633280534318
"Iso518Rep1_barcoef",3.19029638480165,68.3501376859389,0.0860711152209974,6.95663718764286,-17.2652149277343,-16.2790920410532
"Iso518Rep2_buccoef",3.1238925,69.9305539142376,0.0588595915870464,6.58529,-9.366985794617,-8.3808629079359
"Iso518Rep2_gomcoef",3.12341281757545,79.1645234090347,0.0864396816690564,6.61030208538858,-8.29485068568545,-7.30872779900436
"Iso518Rep2_barcoef",3.10954289098069,76.8376856811392,0.0680278174751633,6.59144649212182,-8.98043277223731,-7.99430988555621
"Iso536Rep1_buccoef",3.11560499689729,16.8380758100772,0.0465324052690264,6.79486,6.99946216764757,7.39666987604675
"Iso536Rep1_gomcoef",3.25034668372379,91.5561680720536,0.522356523480418,6.80865255128771,-0.78270708532845,-0.385499376929271
"Iso536Rep1_barcoef",3.248970339703,74.1611505429465,0.102486999357451,6.81064819111551,-0.808154493213895,-0.410946784814715
"Iso536Rep2_buccoef",3.18159224309982,46.134458264843,0.0368181401464871,6.28148576771593,6.34683579273085,7.33295867941195
"Iso536Rep2_gomcoef",3.24361750595826,85.3953394629872,0.0657538129062793,6.30868665660888,7.3115999199054,8.2977228065865
"Iso536Rep2_barcoef",3.22192231632398,86.1582799493233,0.0564060113493603,6.3015292363724,4.42468163984403,5.41080452652512
"Iso564Rep1_buccoef",3.32442000518251,19.2224387423891,0.0818895205712965,6.6575875,3.31165958950594,4.29778247618704
"Iso564Rep1_gomcoef",3.41295502282089,34.4193520970131,0.119297926092645,6.66624797840808,1.40814287308748,2.39426575976858
"Iso564Rep1_barcoef",3.37967081932662,33.3110695108559,0.106302708312626,6.65913592311895,0.283828791438662,1.26995167811976
"Iso564Rep2_buccoef",3.65674,46.6974036224219,0.0935991246197435,6.4931925,-15.5733610712869,-14.5872381846058
"Iso564Rep2_gomcoef",3.65399204859044,54.6317842159677,0.119207524519584,6.49649018806503,-16.2612537081023,-15.2751308214213
"Iso564Rep2_barcoef",3.65571025530879,62.1769680442632,0.140913230972117,6.49319556542415,-15.5961150232887,-14.6099921366076
"Iso570Rep1_buccoef",3.94123666666667,36.2112705791192,0.0846742088582621,6.498115,-16.8654802285323,-15.8793573418512
"Iso570Rep1_gomcoef",3.93876781396604,39.5874501584131,0.111094423081942,6.49882252905967,-16.8729625472458,-15.8868396605647
"Iso570Rep1_barcoef",3.92154722019086,42.1194562966933,0.105421245253872,6.49808227729628,-17.3999114156173,-16.4137885289363
"Iso570Rep2_buccoef",3.61453333333333,45.2601838605082,0.0583388715630857,6.716035,-12.0861922775939,-11.1000693909128
"Iso570Rep2_gomcoef",3.63188751155892,89.6484929108526,0.459853935026702,6.71603501768157,-11.3952285185584,-10.4091056318773
"Iso570Rep2_barcoef",3.61219587162085,65.7644965094375,0.0969317326484092,6.71660123898664,-12.1029283054196,-11.1168054187385
"Iso638Rep1_buccoef",3.32113290446939,0,0.0283055464338589,6.31603644464095,6.3053942601992,7.2915171468803
"Iso638Rep1_gomcoef",3.31403671280181,18.4610243758989,0.0369823874580588,6.47858822522955,8.95418927003161,9.9403121567127
"Iso638Rep1_barcoef",3.32870126030438,10.0209352013933,0.03299610527291,6.34700586713029,6.36293716130297,7.34906004798406
"Iso638Rep2_buccoef",3.6111975,88.6136975683363,0.0433073082701501,5.57577333333333,12.5948412071226,13.5809640938037
"Iso638Rep2_gomcoef",3.61120647835514,95.6484471074417,0.124753579161608,5.57173937716974,12.5981611149441,13.5842840016252
"Iso638Rep2_barcoef",3.61075452745091,106.265149029649,0.0934509728164337,5.57402974726216,12.5966485066894,13.5827713933705
"Iso649Rep1_buccoef",3.24132,87.0990600269529,0.0593021196665677,6.13971,-15.0790491643502,-13.5661236993799
"Iso649Rep1_gomcoef",3.2416360877297,94.3013270400275,0.0936797590758662,6.14452099132382,-14.394062359391,-12.8811368944207
"Iso649Rep1_barcoef",3.23855799474005,100.145662807562,0.0787624571281148,6.1409148137477,-15.1981177574312,-13.685192292461
"Iso649Rep2_buccoef",3.53341500020657,66.3800562830573,0.0359584982725246,6.44388,-12.8937794402061,-11.3808539752359
"Iso649Rep2_gomcoef",3.53721251211801,80.7273750881307,0.0471857432578113,6.5055599366536,-6.82998427140932,-5.31705880643909
"Iso649Rep2_barcoef",3.52150919540286,85.6004186805983,0.0452422467353121,6.45830785742626,-10.6391822963695,-9.12625683139924
