"","isolate","rep","T","mumax_ln_h","lag_h","mumax_log10_day","lag_day","h0","Q0"
"26",457,"rep2",22,0.400136450507697,6.71376055396975,4.16989787763123,0.279740023082073,1.16648732853845,0.452346497155668
"41",457,"rep1",10,0.0863553136519157,167.441141892193,0.899925109702986,6.97671424550804,6.27852033275521,0.00187970130350142
"56",457,"rep2",10,0.0682756375347718,101.375462849458,0.711513374222546,4.22397761872742,3.00541656814126,0.0520979131997271
"10",474,"rep1",22,0.617732414119317,8.04516180063,6.4375067038053,0.33521507502625,2.15794929269808,0.130661328102161
"27",474,"rep2",22,0.395458081207534,3.25790677937306,4.12114370342198,0.135746115807211,0.559429250422878,1.33391387079493
"42",474,"rep1",10,0.0634954305744861,115.046623854264,0.661697930433203,4.793609327261,3.1719213711539,0.0437574115755369
"57",474,"rep2",10,0.0629043042369504,194.049555824773,0.655537690702045,8.08539815936554,5.30028323779705,0.00501520708665075
"11",495,"rep1",22,0.640614455833065,15.3157944313689,6.67596480242881,0.638158101307038,4.26032102271058,0.0143199351018306
"28",495,"rep2",22,0.579644679827278,7.24029895609986,6.04058719750528,0.301679123170828,1.82231904918032,0.192819855137995
"43",495,"rep1",10,0.0334403751167092,72.4816970560735,0.348488494485897,3.02007071066973,1.05245989520225,0.536282373450819
"58",495,"rep2",10,0.0885651422809658,90.4454185080138,0.922954153166817,3.76855910450058,3.47820727695343,0.0318455283850261
"12",518,"rep1",22,0.442321992951552,10.4776574100973,4.60952142025065,0.436569058754054,2.01237442774548,0.15429575957119
"29",518,"rep2",22,1.41259562453437,18.9659124143908,14.7209270468193,0.790246350599617,11.6331588761922,8.8672130636949e-06
"44",518,"rep1",10,0.0860711608191816,68.3501524747752,0.896963899114355,2.8479230197823,2.55448413620146,0.0842839045408868
"59",518,"rep2",10,0.0680277872642337,76.8376468506656,0.708930479523061,3.20156861877773,2.26968957613608,0.115255220608442
"13",536,"rep1",22,1.77895266253291,21.1201160421754,18.5388032569648,0.880004835090642,16.3142365029231,8.21896528344906e-08
"30",536,"rep2",22,0.3840874490753,6.32254398952934,4.00264818836613,0.263439332897056,1.05445496856478,0.534642061921051
"45",536,"rep1",10,0.0871807822059667,70.2492531916499,0.908527474139471,2.92705221631875,2.65930735676641,0.075264987515103
"60",536,"rep2",10,0.0564047473459988,86.1575507978614,0.587804575034291,3.58989794991089,2.11015843886384,0.137939629926577
"14",564,"rep1",22,1.01413596420582,13.8482992115501,10.5685033178201,0.577012467147921,6.09815817347636,0.00225206289028846
"31",564,"rep2",22,0.776149175470792,13.2750195404162,8.08839783382501,0.553125814184008,4.47390163727863,0.0115342617764188
"46",564,"rep1",10,0.10630239720656,33.3108860797812,1.10779745243484,1.38795358665755,1.53757144739703,0.273726937494177
"61",564,"rep2",10,0.140913188224345,62.1769575518563,1.46848307311519,2.59070656466068,3.80440873761261,0.0227797202615217
"15",570,"rep1",22,0.541936920386268,11.9992895362674,5.64762748122902,0.499970397344475,2.82364655584365,0.0631387268507436
"32",570,"rep2",22,0.38014574112217,5.09955729464821,3.96157090183764,0.212481553943675,0.841760741280509,0.75731810163044
"47",570,"rep1",10,0.105421246083586,42.119456624009,1.0986148093817,1.75497735933371,1.92804411709361,0.170182398595356
"62",570,"rep2",10,0.0969327773311072,65.76480684921,1.01015486580398,2.74020028538375,2.76802665155786,0.066991920856188
"16",638,"rep1",22,0.508999307045624,6.09670476322246,5.3043783626118,0.254029365134269,1.34746786788623,0.351164238880117
"33",638,"rep2",22,0.70809262878559,13.8648497178335,7.37916764691887,0.577702071576396,4.26296043613455,0.0142816496282163
"48",638,"rep1",10,0.0329963024379945,10.0222483869086,0.343860728837112,0.417593682787858,0.143594068121207,6.47603803744551
"63",638,"rep2",10,0.0934298711830147,106.267139651125,0.973650416149524,4.42779748546354,4.31112686434739,0.0136009232369603
"17",649,"rep1",22,0.386608296781336,6.85213141679879,4.02891842064788,0.28550547569995,1.15027827024336,0.463161980430907
"34",649,"rep2",22,0.624558134788883,11.1793807437381,6.50863883410039,0.465807530989088,3.03177298541199,0.050674063784946
"49",649,"rep1",10,0.0787624355855972,100.145651316723,0.82079828660631,4.17273547153013,3.4249741254933,0.0336452812461337
"64",649,"rep2",10,0.0452424463922808,85.6008852388543,0.47148011872112,3.56670355161893,1.68162981396033,0.228607589888902
